/file/	C:\Users\Федор\Desktop\Ю4-6_ЭН\Ю4-6_РД_ЭН_План наружного освещения.dwg
//HANDLE	NAME_BLOCK	NAME_INSIDE	LAYER	POINT	ANGLE	Массштаб	Distance1	Angle1	Position1 X	Position1 Y	H_Text	Angle2	N_PYLON	GROUP	POWER	TYPE	NAME	MANUFACTURER	SPECIFICATION_SECTION
AAC22	опора_промежуточная 0.4	*U70	ЭО_Пл_Опора	(1.03187e+008 1.0503e+008 0.0)	0	1:500	625.0	3.14159	821.678	1027.61	1500.0	0.100158	N2_65				опора		
AABE8	опора_промежуточная 0.4	*U70	ЭО_Пл_Опора	(1.03187e+008 1.05005e+008 0.0)	0	1:500	625.0	3.14159	821.678	1027.61	1500.0	0.100158	N2_64				опора		
AAB6F	опора_промежуточная 0.4	*U70	ЭО_Пл_Опора	(1.03187e+008 1.0498e+008 0.0)	0	1:500	625.0	3.14159	821.678	1027.61	1500.0	0.100158	N2_63				опора		
A8AFA	опора_промежуточная 0.4	*U146	ЭО_Пл_Опора	(1.0345e+008 1.05163e+008 0.0)	0	1:500	625.0	3.14159	1084.06	571.829	1500.0	0.100158	N2_23				опора		
A8AC0	опора_промежуточная 0.4	*U56	ЭО_Пл_Опора	(1.0345e+008 1.05138e+008 0.0)	0	1:500	625.0	3.14159	930.487	910.42	1500.0	0.100158	N2_22				опора		
A8A86	опора_промежуточная 0.4	*U149	ЭО_Пл_Опора	(1.0345e+008 1.05113e+008 0.0)	0	1:500	625.0	3.14159	804.006	825.516	1500.0	0.100158	N2_21				опора		
A8A4C	опора_промежуточная 0.4	*U148	ЭО_Пл_Опора	(1.0345e+008 1.05088e+008 0.0)	0	1:500	625.0	3.14159	995.233	1063.65	1500.0	0.100158	N2_20				опора		
A8A12	опора_промежуточная 0.4	*U147	ЭО_Пл_Опора	(1.0345e+008 1.05063e+008 0.0)	0	1:500	625.0	3.14159	836.966	698.298	1500.0	0.100158	N2_19				опора		
A8959	опора_промежуточная 0.4	*U155	ЭО_Пл_Опора	(1.03525e+008 1.04986e+008 0.0)	0	1:500	625.0	3.14159	1144.42	-1949.94	1500.0	0.100158	N2_29				опора		
A88FF	опора_промежуточная 0.4	*U156	ЭО_Пл_Опора	(1.035e+008 1.04986e+008 0.0)	0	1:500	625.0	3.14159	1226.23	-1734.76	1500.0	0.100158	N2_28				опора		
A88A2	опора_промежуточная 0.4	*U157	ЭО_Пл_Опора	(1.03475e+008 1.04986e+008 0.0)	0	1:500	625.0	3.14159	1160.79	-1814.35	1500.0	0.100158	N2_27				опора		
A8734	опора_промежуточная 0.4	*U59	ЭО_Пл_Опора	(1.03414e+008 1.04986e+008 0.0)	0	1:500	625.0	3.14159	999.55	808.282	1500.0	0.100158	N2_03				опора		
A86FA	опора_промежуточная 0.4	*U413	ЭО_Пл_Опора	(1.03414e+008 1.05055e+008 0.0)	0	1:500	625.0	3.14159	568.69	-2131.38	1500.0	0.100158	N2_07				опора		
A86C0	опора_промежуточная 0.4	*U59	ЭО_Пл_Опора	(1.03414e+008 1.05005e+008 0.0)	0	1:500	625.0	3.14159	999.55	808.282	1500.0	0.100158	N2_05				опора		
A8221	опора_промежуточная 0.4	*U59	ЭО_Пл_Опора	(1.03414e+008 1.05027e+008 0.0)	0	1:500	625.0	3.14159	999.55	808.282	1500.0	0.100158	N2_06				опора		
A814B	опора_промежуточная 0.4	*U59	ЭО_Пл_Опора	(1.03414e+008 1.05158e+008 0.0)	0	1:500	625.0	3.14159	999.55	808.282	1500.0	0.100158	N2_11				опора		
A8111	опора_промежуточная 0.4	*U59	ЭО_Пл_Опора	(1.03414e+008 1.05128e+008 0.0)	0	1:500	625.0	3.14159	999.55	808.282	1500.0	0.100158	N2_10				опора		
A80D7	опора_промежуточная 0.4	*U59	ЭО_Пл_Опора	(1.03414e+008 1.05104e+008 0.0)	0	1:500	625.0	3.14159	999.55	808.282	1500.0	0.100158	N2_09				опора		
A771F	опора_промежуточная 0.4	*U165	ЭО_Пл_Опора	(1.03399e+008 1.05146e+008 0.0)	0	1:500	625.0	3.14159	2780.43	448.611	1500.0	0.100158	N2_12				опора		
A76E5	опора_промежуточная 0.4	*U115	ЭО_Пл_Опора	(1.0337e+008 1.05134e+008 0.0)	0	1:500	625.0	3.14159	1405.16	-1176.29	1500.0	0.100158	N2_13				опора		
A76AB	опора_промежуточная 0.4	*U123	ЭО_Пл_Опора	(1.03347e+008 1.05125e+008 0.0)	0	1:500	625.0	3.14159	1495.1	-1472.15	1500.0	0.100158	N2_14				опора		
A7598	опора_промежуточная 0.4	*U110	ЭО_Пл_Опора	(1.0333e+008 1.0513e+008 0.0)	0	1:500	625.0	3.14159	1080.91	-2131.16	1500.0	0.100158	N2_44				опора		
A755E	опора_промежуточная 0.4	*U57	ЭО_Пл_Опора	(1.0333e+008 1.05105e+008 0.0)	0	1:500	625.0	3.14159	1035.0	-2548.47	1500.0	0.100158	N2_43				опора		
A7524	опора_промежуточная 0.4	*U421	ЭО_Пл_Опора	(1.0333e+008 1.0508e+008 0.0)	0	1:500	625.0	3.14159	914.713	-2548.47	1500.0	0.100158	N2_42				опора		
A74EA	опора_промежуточная 0.4	*U419	ЭО_Пл_Опора	(1.0333e+008 1.0503e+008 0.0)	0	1:500	625.0	3.14159	1049.43	-2548.47	1500.0	0.100158	N2_40				опора		
A4E57	опора_промежуточная 0.4	*U64	ЭО_Пл_Опора	(1.03303e+008 1.05115e+008 0.0)	0	1:500	625.0	3.14159	539.371	925.388	1500.0	0.100158	N2_49				опора		
A4E1D	опора_промежуточная 0.4	*U64	ЭО_Пл_Опора	(1.03303e+008 1.05092e+008 0.0)	0	1:500	625.0	3.14159	539.371	925.388	1500.0	0.100158	N2_48				опора		
A4DE3	опора_промежуточная 0.4	*U64	ЭО_Пл_Опора	(1.03303e+008 1.05063e+008 0.0)	0	1:500	625.0	3.14159	539.371	925.388	1500.0	0.100158	N2_47				опора		
A4D4A	опора_промежуточная 0.4	*U424	ЭО_Пл_Опора	(1.03213e+008 1.05075e+008 0.0001628)	0	1:500	625.0	3.14159	2690.02	-2909.32	1500.0	0.100158	N2_58				опора		
A4D10	опора_промежуточная 0.4	*U126	ЭО_Пл_Опора	(1.03214e+008 1.05053e+008 0.0)	0	1:500	625.0	3.14159	-633.907	-2474.25	1500.0	0.100158	N2_57				опора		
A4CD6	опора_промежуточная 0.4	*U423	ЭО_Пл_Опора	(1.03214e+008 1.05029e+008 0.0)	0	1:500	625.0	3.14159	1119.15	-2909.32	1500.0	0.100158	N2_56				опора		
A4C9C	опора_промежуточная 0.4	*U422	ЭО_Пл_Опора	(1.03214e+008 1.05005e+008 0.0)	0	1:500	625.0	3.14159	740.799	-2909.32	1500.0	0.100158	N2_55				опора		
