/file/	C:\Users\Федор\Desktop\Ю4-6_ЭН\Пример плана Ю4-6_Э1.dwg
//HANDLE	NAME_BLOCK	NAME_INSIDE	LAYER	POINT	ANGLE	Массштаб	Distance1	Angle1	Position1 X	Position1 Y	H_Text	Angle2	N_PYLON	GROUP	POWER	TYPE	NAME	MANUFACTURER	SPECIFICATION_SECTION
33ED8	опора_промежуточная 0.4	*U34	ЭО_Пл_Опора	(1.03293e+008 1.04958e+008 0.0)	0	1:500	625.0	3.14159	663.773	1251.54	1500.0	0.100158	N1_11	гр.1			опора		
33EBE	опора_промежуточная 0.4	*U67	ЭО_Пл_Опора	(1.03261e+008 1.04942e+008 0.0)	0	1:500	625.0	3.14159	520.858	561.522	1500.0	0.100158	N1_10	гр.1			опора		
33EA4	опора_промежуточная 0.4	*U36	ЭО_Пл_Опора	(1.03261e+008 1.0499e+008 0.0)	0	1:500	625.0	3.14159	1028.29	218.34	1500.0	0.100158	N1_09	гр.1			опора		
33E8A	опора_промежуточная 0.4	*U39	ЭО_Пл_Опора	(1.03261e+008 1.04974e+008 0.0)	0	1:500	625.0	3.14159	923.181	238.564	1500.0	0.100158	N1_08	гр.1			опора		
33E70	опора_промежуточная 0.4	*U38	ЭО_Пл_Опора	(1.03261e+008 1.04958e+008 0.0)	0	1:500	625.0	3.14159	1368.34	454.174	1500.0	0.100158	N1_07	гр.1			опора		
33E56	опора_промежуточная 0.4	*U37	ЭО_Пл_Опора	(1.03238e+008 1.04974e+008 0.0)	0	1:500	625.0	3.14159	-6735.59	-1717.83	1500.0	0.100158	N1_06	гр.1			опора		
33E3C	опора_промежуточная 0.4	*U43	ЭО_Пл_Опора	(1.03238e+008 1.04922e+008 0.0)	0	1:500	625.0	3.14159	2043.31	-225.662	1500.0	0.100158	N1_03	гр.1			опора		
33E22	опора_промежуточная 0.4	*U41	ЭО_Пл_Опора	(1.03238e+008 1.04958e+008 0.0)	0	1:500	625.0	3.14159	-6793.33	-1211.7	1500.0	0.100158	N1_05	гр.1			опора		
33E08	опора_промежуточная 0.4	*U40	ЭО_Пл_Опора	(1.03238e+008 1.04942e+008 0.0)	0	1:500	625.0	3.14159	-7514.29	-1465.87	1500.0	0.100158	N1_04	гр.1			опора		
33DEE	опора_промежуточная 0.4	*U42	ЭО_Пл_Опора	(1.03253e+008 1.04904e+008 0.0)	0	1:500	625.0	3.14159	1951.83	-1157.17	1500.0	0.100158	N1_02	гр.1			опора		
33DD4	опора_промежуточная 0.4	*U44	ЭО_Пл_Опора	(1.03319e+008 1.04944e+008 0.0)	0	1:500	625.0	3.14159	-418.662	1928.48	1500.0	0.100158	N1_19	гр.1			опора		
33C81	опора_промежуточная 0.4	*U28	ЭО_Пл_Опора	(1.03353e+008 1.04897e+008 0.0)	0	1:500	625.0	3.14159	1187.94	-1524.51	1500.0	0.100158	N1_22	гр.1			опора		
33C67	опора_промежуточная 0.4	*U30	ЭО_Пл_Опора	(1.03333e+008 1.04925e+008 0.0)	0	1:500	625.0	3.14159	1110.45	-1802.38	1500.0	0.100158	N1_18	гр.1			опора		
33C4D	опора_промежуточная 0.4	*U29	ЭО_Пл_Опора	(1.03305e+008 1.04905e+008 0.0)	0	1:500	625.0	3.14159	2162.14	-533.529	1500.0	0.100158	N1_17	гр.1			опора		
33C33	опора_промежуточная 0.4	*U48	ЭО_Пл_Опора	(1.03325e+008 1.04877e+008 0.0)	0	1:500	625.0	3.14159	2245.82	-633.907	1500.0	0.100158	N1_21	гр.1			опора		
33C19	опора_промежуточная 0.4	*U47	ЭО_Пл_Опора	(1.03308e+008 1.04864e+008 0.0)	0	1:500	625.0	3.14159	1889.5	-469.641	1500.0	0.100158	N1_20	гр.1			опора		
33BFF	опора_промежуточная 0.4	*U31	ЭО_Пл_Опора	(1.03288e+008 1.04892e+008 0.0)	0	1:500	625.0	3.14159	2223.64	-888.282	1500.0	0.100158	N1_16	гр.1			опора		
33BE5	опора_промежуточная 0.4	*U32	ЭО_Пл_Опора	(1.03263e+008 1.04884e+008 0.0)	0	1:500	625.0	3.14159	-7802.31	-470.332	1500.0	0.100158	N1_01	гр.1			опора		
33AE7	опора_промежуточная 0.4	*U27	ЭО_Пл_Опора	(1.03384e+008 1.04811e+008 0.0)	0	1:500	625.0	3.14159	1513.28	-679.069	1500.0	0.100158	N1_55	гр.2			опора		
33ACD	опора_промежуточная 0.4	*U26	ЭО_Пл_Опора	(1.03364e+008 1.04796e+008 0.0)	0	1:500	625.0	3.14159	1078.57	-940.806	1500.0	0.100158	N1_54	гр.2			опора		
33A77	опора_промежуточная 0.4	*U25	ЭО_Пл_Опора	(1.03344e+008 1.04788e+008 0.0)	0	1:500	625.0	3.14159	2768.19	-2473.64	1500.0	0.100158	N1_27	гр.1			опора		
339A9	опора_промежуточная 0.4	*U19	ЭО_Пл_Опора	(1.03423e+008 1.04766e+008 0.0)	0	1:500	625.0	3.14159	1963.65	1095.2	1500.0	0.100158	N1_40	гр.1			опора		
338FD	опора_промежуточная 0.4	*U19	ЭО_Пл_Опора	(1.03382e+008 1.04744e+008 0.0)	0	1:500	625.0	3.14159	1963.65	1095.2	1500.0	0.100158	N1_29	гр.1			опора		
338E3	опора_промежуточная 0.4	*U46	ЭО_Пл_Опора	(1.03399e+008 1.04723e+008 0.0)	0	1:500	625.0	3.14159	981.448	-908.254	1500.0	0.100158	N1_30	гр.1			опора		
338C9	опора_промежуточная 0.4	*U24	ЭО_Пл_Опора	(1.03417e+008 1.04702e+008 0.0)	0	1:500	625.0	3.14159	2353.67	-335.119	1500.0	0.100158	N1_39	гр.1			опора		
338AF	опора_промежуточная 0.4	*U23	ЭО_Пл_Опора	(1.03434e+008 1.04714e+008 0.0)	0	1:500	625.0	3.14159	2215.37	-1078.22	1500.0	0.100158	N1_38	гр.1			опора		
33895	опора_промежуточная 0.4	*U22	ЭО_Пл_Опора	(1.03451e+008 1.04726e+008 0.0)	0	1:500	625.0	3.14159	2257.07	-806.213	1500.0	0.100158	N1_37	гр.1			опора		
3387B	опора_промежуточная 0.4	*U133	ЭО_Пл_Опора	(1.03468e+008 1.04739e+008 0.0)	0	1:500	625.0	3.14159	2265.9	-771.222	1500.0	0.100158	N1_36	гр.1			опора		
33861	опора_промежуточная 0.4	*U130	ЭО_Пл_Опора	(1.03458e+008 1.04753e+008 0.0)	0	1:500	625.0	3.14159	2393.63	2040.97	1500.0	0.100158	N1_35	гр.1			опора		
33847	опора_промежуточная 0.4	*U115	ЭО_Пл_Опора	(1.03447e+008 1.04768e+008 0.0)	0	1:500	625.0	3.14159	2050.35	-118.377	1500.0	0.100158	N1_34	гр.1			опора		
3382D	опора_промежуточная 0.4	*U297	ЭО_Пл_Опора	(1.0342e+008 1.04747e+008 0.0)	0	1:500	625.0	3.14159	1980.76	-408.888	1500.0	0.100158	N1_32	гр.1			опора		
33813	опора_промежуточная 0.4	*U20	ЭО_Пл_Опора	(1.03365e+008 1.04763e+008 0.0)	0	1:500	625.0	2.58067	3382.13	-3125.3	1500.0	0.100158	N1_28	гр.1			опора		
337F9	опора_промежуточная 0.4	*U21	ЭО_Пл_Опора	(1.03399e+008 1.04775e+008 0.0)	0	1:500	625.0	3.14159	2613.45	-557.92	1500.0	0.100158	N1_31	гр.1			опора		
337DF	опора_промежуточная 0.4	*U116	ЭО_Пл_Опора	(1.03427e+008 1.04795e+008 0.0)	0	1:500	625.0	3.14159	1592.2	-251.401	1500.0	0.100158	N1_33	гр.1			опора		
337C5	опора_промежуточная 0.4	*U56	ЭО_Пл_Опора	(1.03413e+008 1.04814e+008 0.0)	0	1:500	625.0	3.14159	2117.19	-1180.06	1500.0	0.100158	N1_41	гр.1			опора		
337AB	опора_промежуточная 0.4	*U65	ЭО_Пл_Опора	(1.03405e+008 1.04826e+008 0.0)	0	1:500	625.0	3.14159	2410.57	-1978.49	1500.0	0.100158	N1_57	гр.2			опора		
33791	опора_промежуточная 0.4	*U73	ЭО_Пл_Опора	(1.035e+008 1.04772e+008 1.13687e-013)	0	1:500	625.0	3.14159	846.453	458.167	1500.0	0.100158	N1_68	гр.2			опора		
3375D	опора_промежуточная 0.4	*U52	ЭО_Пл_Опора	(1.03471e+008 1.04812e+008 0.0)	0	1:500	625.0	3.14159	755.181	435.507	1500.0	0.100158	N1_66	гр.2			опора		
33743	опора_промежуточная 0.4	*U19	ЭО_Пл_Опора	(1.03456e+008 1.04833e+008 0.0)	0	1:500	625.0	3.14159	1963.65	1095.2	1500.0	0.100158	N1_65	гр.2			опора		
33599	опора_промежуточная 0.4	*U106	ЭО_Пл_Опора	(1.03364e+008 1.04959e+008 1.13687e-013)	0	1:500	625.0	3.14159	-5930.91	141.289	1500.0	0.100158	N1_75	гр.2			опора		
33565	опора_промежуточная 0.4	*U107	ЭО_Пл_Опора	(1.03375e+008 1.04944e+008 1.13687e-013)	0	1:500	625.0	3.14159	2697.62	-1488.65	1500.0	0.100158	N1_74	гр.2			опора		
3354B	опора_промежуточная 0.4	*U303	ЭО_Пл_Опора	(1.03386e+008 1.04928e+008 1.13687e-013)	0	1:500	625.0	3.14159	1338.42	1581.86	1500.0	0.100158	N1_73	гр.2			опора		
33531	опора_промежуточная 0.4	*U111	ЭО_Пл_Опора	(1.03412e+008 1.04893e+008 0.0)	0	1:500	625.0	3.14159	1818.08	-1561.1	1500.0	0.100158	N1_71	гр.2			опора		
33517	опора_промежуточная 0.4	*U51	ЭО_Пл_Опора	(1.03441e+008 1.04853e+008 0.0)	0	1:500	625.0	3.14159	980.968	747.665	1500.0	0.100158	N1_64	гр.2			опора		
334C1	опора_промежуточная 0.4	*U55	ЭО_Пл_Опора	(1.03427e+008 1.04873e+008 0.0)	0	1:500	625.0	3.14159	919.129	556.079	1500.0	0.100158	N1_70	гр.2			опора		
334A7	опора_промежуточная 0.4	*U295	ЭО_Пл_Опора	(1.03367e+008 1.04878e+008 0.0)	0	1:500	625.0	3.14159	2220.88	-1876.18	1500.0	0.100158	N1_45	гр.2			опора		
33451	опора_промежуточная 0.4	*U102	ЭО_Пл_Опора	(1.03375e+008 1.04866e+008 0.0)	0	1:500	625.0	3.14159	1846.39	-1341.26	1500.0	0.100158	N1_44	гр.2			опора		
33437	опора_промежуточная 0.4	*U18	ЭО_Пл_Опора	(1.03355e+008 1.04851e+008 0.0)	0	1:500	625.0	3.14159	2172.24	-473.199	1500.0	0.100158	N1_43	гр.2			опора		
333E1	опора_промежуточная 0.4	*U296	ЭО_Пл_Опора	(1.03367e+008 1.04841e+008 0.0)	0	1:500	625.0	3.14159	-1898.99	3343.14	1500.0	0.100158	n1_46	гр.2			опора		
33342	опора_промежуточная 0.4	*U16	ЭО_Пл_Опора	(1.03401e+008 1.04922e+008 0.0)	0	1:500	625.0	3.14159	-804.946	-1919.4	1500.0	0.100158	n1_79	гр.2			опора		
33328	опора_промежуточная 0.4	*U15	ЭО_Пл_Опора	(1.03335e+008 1.04837e+008 0.0)	0	1:500	625.0	3.14159	2639.83	-980.016	1500.0	0.100158	N1_42	гр.2			опора		
3330E	опора_промежуточная 0.4	*U14	ЭО_Пл_Опора	(1.03317e+008 1.0482e+008 0.0)	0	1:500	625.0	3.14159	2025.66	-1088.18	1500.0	0.100158	N1_25	гр.1			опора		
332CC	опора_промежуточная 0.4	*U57	ЭО_Пл_Опора	(1.03298e+008 1.04842e+008 0.0)	0	1:500	625.0	3.14159	1358.01	-407.647	1500.0	0.100158	N1_24	гр.1			опора		
33269	опора_промежуточная 0.4	*U92	ЭО_Пл_Опора	(1.03281e+008 1.04863e+008 0.0)	0	1:500	625.0	3.14159	1069.31	195.096	1500.0	0.100158	N1_23	гр.1			опора		
//HANDLE	NAME_BLOCK	NAME_INSIDE	LAYER	POINT	ANGLE	Массштаб	Distance1	Angle1	H_Text	Position3 X	Position3 Y	Position1 X	Position1 Y	GROUP	TYPE	NAME	MANUFACTURER	SPECIFICATION_SECTION	POWER
EE776	ЭО_Опора_1_свет	*U284	ЭО_Пл_Светильники	(1.03422e+008 1.04838e+008 0.0)	0	1:500	625.0	2.59604	1500.0	-854.84	518.891	-7739.71	294.106					Светотехническое оборудование	40Вт
